text_id	text	masks_stance	masks_argument	quarantine_stance	quarantine_argument	vaccines_stance	vaccines_argument
17301	В Ленобласти, например, есть Постановление Правительства ЛО от  No 154, но в нём нет ни слова о введении карантина и проведении карантинных мероприятий.						
17307	"Это вам для осознания причинно-следственных связей ""В Ленобласти из-за карантинных ограничений по коронавирусу огромная очередь в , инвалиды, пожилые онкобольные вынуждены часами стоять чтобы попасть на жизненно важные процедуры которые нельзя пропускать""... И для (Мариночка Сергеева), иногда, заданные вопросы говорят о человеке очень много."						
17308	Надо их сразу с трапа самолёта вывозить на карантин, ну						
17337	Анализы взяли, сказали сидеть на карантине 2 недели, а про больничный ни слова.						
17346	И самолёт им, и теплую еду, и ... А мы из за таких особ в карантинах и запретах сидим, да ещё с наших налогов им полёты оплачиваем.						
17350	[USER], понятие карантин, самоизоляцию и прочее для многих одно и тоже  Про открытое заражение я думаю проинформируют, так как это может быть поводом для введения ЧС.						
17360	"Хватит прикрываться ""нерабочей неделей"" Введите КАРАНТИН"						
17362	Карантин и меры предосторожности должны соблюдать все!						
17423	С одной стороны, мало кто готов соблюдать строгий  карантин, с другой - везти в больницу человека, чувствующего себя здоровым...						
17438	У людей, если теперь их так можно назвать, нет ни грамма понятия что они своим тупым повелением подвергают опасности других и тем самым продлевают карантин!!						
17448	[USER], единственное, что снизит риск - карантин дома.						
17460	Детям нужен  комендантский час иначе зачем карантин?						
17461	], Детский сад закрывают, больничный по карантину не дают, куда деть ребёнка???						
17471	"Когда объявят карантин в России: ""российские полицейские ездят по улицам и дают пиздюлей тем, кто выходит из дома."						
17472	Неделя две и все сядем на попу ровно всех обяжут уйти на карантин, под страхом штрафов не малых, и возможно вплоть до уголовки.						
17486	И как в таком случае можно говорить до 3 лет, если им всего то несколько месяцев и пока карантин будут выплачивать 3 месяца!!?						
17497	[USER], автотор - это предприятие непрерывного цикла,  на него карантин не распространяется						
17537	Они пока предлагают и думают, карантин закончится.						
17563	У меня на днях друзья прилетели с Тая и сразу на карантин попали...						
17582	Правительство хочет принять закон об уголовной ответственности за нарушение карантина, а административные штрафы уже выписываются.						
17593	Проще наверное закрыть на карантин 100 человек( и на них бы хватило амарантов) не желе  эти 100 дегенератов пошли по домам по дороге зашли в любимый ресторан в котором покашляли и увеличили число заражённыхвы хоть иногда мозг включайте и пытайтесь думать рационально						
17599	За такой поступок поместить в карантин ИК р Мордовия года на 3., заодно маски шить будет						
17616	Как заставить сына сидеть дома во время карантина.						
17665	Ну вообще то карантин в нашей стране никто не объявлял.						
17713	[USER], ну как-то же справляются, когда садики на карантин закрывают						
17723	Самое главное это строгий контроль и карантин						
17724	Тётя, это ваша обязанность и всех властьимущих, обследовать вернувшихся, в карантинных зонах в аэропортах и следить чтобы все кто вернулся в любом случае соблюдали карантин, тогда не будет контактных больных.						
17731	ПОЧЕМУ ВРАЧ-НАНОПАТОЛОГ ПРОТИВ КАРАНТИНА  19 марта каналу byoblu24 дал большое интервью нанопатолог с 40-летним стажем работы в операционных, доктор и профессор Стефано Монтанари.						
17756	[USER], да вас не садят на карантин потому , что боятся паники  , так как придётся людям выделять поддержку из бюджета , пусть лучше мрут по тихому , как запереть 140 мил ?						
17769	У нас маленькая страна и все под контролем мы на карантине уже 2 недели , а с воскресенья будет введён комендантский час , так как у нас уже есть умершие .						
17779	Карантина нет, значит народ на законных основания может гулять.						
17789	[USER], про форсмажорные обстоятельства в каждом кредитном договоре прописано, эпидемии/пандемии к этим обстоятельствам относятся больничный на случай карантина сейчас дистанционно оформить можно, больничный оплатят						
17799	"Какое отношение заголовок ""Русские в панике ""зачищают"" полки в магазинах, опасаясь введения нового карантина на фоне продолжающегося роста заболеваемости COVID-19."""						
17806	Карантин, полный запрет на передвижение, военные патрули на улицах, пропускной режим, полная дезинфекция всего и вся						
17815	[USER], то, что вы описали в своем комментарии - это основной аргумент, из-за которого нужен полный карантин, так как во-первых, действительно на огромное количество больных не хватит столько медицинского оборудования, а во-вторых, вы совершенно правы, врачи в таких ситуациях действуют по законам военного времени: спасают тех, у кого больше всего шансов на выздоровление.						
17820	[USER], тут спорить не могу, возможно с понедельника это ввели, у меня просто знакомые на прошлой недели прилетали, карантина нет.						
17826	Все товары, грузы и технику при пересечении границы - обязательно помещать на карантин с .						
17840	Страна находится на стадии полного карантина Если у тебя норм работа, то ты работаешь дома в норм условиях, а если нет то надо задуматься о том чтобы сменить работу.						
17842	Люди думают, как они после карантина набежавшие долги оплачивать будут, по коммуналке, по аренде, по налогам.						
17844	И потом не придется ждать курьерскую доставку, в условиях усиленного карантина.						
17852	Пока карантин не введён, они вам с чего должны аренду то снижать...						
17865	Какой блин карантин если дома шаром покати?!						
17892	И я надеюсь сообщат, если начнут появляться не карантинные случаи.						
17902	После появление короны в Европе надо было сразу прикрывать все рейсы международные, а всех прилетевших на строжайший карантин на 2 недели... если бы так сделали, то и не было сейчас таких последствий...						
17931	[USER], с 28 марта по 5 апреля ввели карантин и рекомендуют быть дома и не выходить на улицу.						
17950	Самоизоляция и карантин вводятся исключительно для того, чтобы система здравоохранения не загнулась от кол-во поступающих.						
17965	[USER], нахожусь сейчас в Индии - карантин объявили , все сидят дома, кроме пары часов с утра , чтобы сходит за продуктами, в остальное время патрулируют полицейские с дубинками и они на самом деле колотят ими, кому дома на сидится.						
17966	Анализ повторный сделали , результат еще не готов был , а с карантина уже выписали причем на карантине был неделю.						
17967	Соответственно, не хватает врачей и  объявляют карантин, чтобы заражение шло медленнее.						
17981	Сами все болели когда не было этой чепухи, тогда ни карантина, нифига что-то не было, а сейчас страдают ерундой						
17982	Вчера в репортаже на первом сказали что там был вирус все трудятся в скафандрах, и тут мужик протопал в обычной куртке уличной в карантинной зоне постанова не о чем						
17987	А в Словакии ЧП и комендантский час (мягкий карантин) с   до  на этой неделе и всеобщее бесплатное тестирование.						
17988	Информацию доведу до индивидов, Пигорь и Юлия - в поликлиниках даже не верят, что карантин только на неделю...						
18014	А теперь людям, которые выросли на том, что ничто в мире кроме своей шкуры, их не интересуют, заставляют проникнуться состраданием к окружающим и сесть на карантин ради других						
18022	Посмотрите Постановление правительства СПб от   номер 156, там  нет ни слова про карантин, из этого следует, что в ОУ  будут организованы дежурные классы (группы)...						
18030	А то что получается, мы внутри карантин вводим, а рейсами соотечественников из неблагополучных стран с коронавирусом привозим.						
18044	[USER], на карантине то здоровые тоже могут находится , все кто прилетел с неблагоприятных стран.						
18050	)народ дома на карантине без зарплат сидит!						
18057	[USER], не пишите ерунды храмы на карантине уже, службы идут, но без людей.						
18062	Хочешь чтоб многие на улице остались и там сдохли ...   Пока не будет гарантий об отсрочки кредитов, коммуналки и т.д. на 14 дней от правительства, никакие строгие карантины вводить нельзя на 14 дней.						
18121	У меня ИП  детская) сидим на карантине с 20 марта и до 12 апреля минимум.						
18125	загнать людей на карантин без финансовой помощи бизнесу и людям, а потом кинуть смешную подачку перед обнулением и снять карантин на пике заболеваемости - очень эгоистично						
18134	У нас в области под карантином понимается закрытие ночных клубов, кинотеатров, детских комнат.						
18150	[USER], карантин, это ограничения в помещении объектов и мест. Если следовать норме, он был.						
18196	[USER], при карантине будут маски, а сейчас нет карантина, есть ограничения						
18197	[USER], это эффективно, если объявить карантин.						
18200	Причём он их вводит на постоянной основе, а не на время карантина.						
18233	Карантин - и жёсткий - надо было вводить ещё две недели назад.						
18252	[USER], за нарушение карантина в цивилизованном Китае предусмотрена уголовная ответственность вплоть до смертной казни						
18266	[USER], прочитала ) Карантин общий пока не объявлен.						
18278	Тотыльный карантин снизит толькот риск хараженмя и распространение						
18300	И помещать на 100% карантин на границе тех кто в страну въезжает.						
18316	Вот слова моей одноклассницы из Анси Франция, из сегодняшней переписки на фейсбуке -Во Франции ввели карантин и тут же все высыпали на природу делать барбекю.						
18324	[USER], они в эйфории рванули на отдых, какой карантин?- только шашлыки и пьянки-гулянки на уме...						
18325	Тут некоторым комментаторам на карантин в Кащенко пора						
18347	[USER], этот карантин вызовет обвал сильнее чем депрессия 1929 года.						
18354	А то у народа уже брожение умов начинается - когда же наконец кончится этот проклятый карантин?!						
18368	Сады и школы на карантине, а больничный в больнице не дают , со словами-это не карантин , а выходная неделя.						
18375	Просматривая ленту новостей кажется, что я один не на карантине						
18383	Карантин в нашем городе (Ростов-на-Дону) не соблюдается.						
18393	П.С. Почему те, кто так хочет карантина, не самоизолируются?доброе дело сделаете.						
18396	Магазины есть в шаговой доступности и их работа в эти дни по 4часа вполне  плохого за неделю не случится , если такой карантин ввести						
18414	Работаю в магазине, всем пофиг на карантин, молодёжь шашлыки скупает, пожилые с утра ходят.						
18447	Сначала заявляют что за побег из карантина и заражение других приведшее к смерти 2 и более будет уголовная ответственность.						
18462	[USER], только вот у них полный карантин, а у нас людей надо вылавливать, я думаю если у нас введут полноценный карантин, то на улицу выйдут космонавты пострашнее героев боливудского кино с палками						
18472	А те, кто закрыт на карантин по контакту, или кто приехал из неблагополучных стран?						
18506	Напомню, что карантинные мероприятия служат для того, чтобы избежать взрывного роста заболевших, при котором количество людей, одновременно нуждающихся в медицинской помощи, превышает возможности системы здравоохранения оказать им всем помощь.						
18539	Легче перечислить отрасли, которые не пострадают от повального карантина						
18543	Кошмар какойа сколько таких по регионам разошлись заразные которых и не проверяли, Путин мог бы запретить вьезд и там оставить всех, пусть сидят и ждут пока закончится карантин, что за народ у нас такой тупой, сколько людей погибнет из за таких, не ужели куражится надо в такое время, о чем они думают, едут домой где есть пожилые родители, бабушки дедушки и так не боятся что могут потерять						
18549	зато завозных из Италии уже больше 100 человек.и уже несколько инфицированных от приезжих, начинаем новый отчет карантина						
18567	[USER], потому что карантин еще один мы не переживем, а ситуация ужас Как-то надо успокаивать						
18588	Я это начал понимать когда, все крупные заводы принадлежавшие серьезным людям , заработали после 1 недели карантина						
18595	По поводу 2-х недельного карантина - не всё так просто.						
18597	И две недельки по приезду - сидите дома на карантине.						
18616	Сейчас карантинные меры ослабли, число заболевших упало в два раза, но вместе с этим упал и процент бессимптомных случаев - до 25% плюс-минус.						
18622	[USER], подругу положили в карантин, анализы отправили в Новосибирск.						
18628	Я всегда считала, что Заря не больница, а изолятор для карантина.						
18667	Получается они отдохнули, покайфовали , а мы на карантин,, круто че.						
18671	На Украине карантин объявили 3 марта и по 3 апреля .						
18676	а у меня двое  теперь... И женщина эта ведь должна минимум 2 недели в карантине сидеть?						
18696	В защитном костюме - как-то неспортивно... А хотя представьте картину: у вас поднялась температура и вас загрузили в карантин.						
18697	Слишком поздно объявил карантин, надо было недели на 2 раньше всё закрыть.						
18727	[USER], шел ты нах со своим карантином						
18728	[USER], а ты дома посиди без зарплаты на карантине , плати коммуналку кредиты ипотеки) я на тя посмотрю)						
18735	Пусть ждут окончания карантина, зачем сюда вывозить...						
18777	Молодежь-страдать, нет  выбор в 61 год, постараться не опускать руки и не дать заржаветь себе окончательно, поэтому пока есть силы, танцую зумбу  будем онлайн двигаться, пока карантин.						
18790	А после карантина 3 шкуры содрать на коммунальных платежах.						
18834	Это мне с его церковной кашей в голове тяжело... Я не даю рекомендации - верить или нет...  Я требую ...  Да - Я ТРЕБУЮ, что бы вы - верующие, как и все граждане РФ - сидели по домам на время карантина - не рисковали , ради похода в церковь, ни своим здоровьем, ни здоровьем ваших близких и уж извольте и чужих вам людей поберечь тоже...						
18838	А как вам ОРГАНИЗОВАННОЕ РПЦ сопротивление верующих правилам карантина ?						
18845	За нарушение карантинных мер - штраф...  Въезда в страну НИ ОТКУДА НЕТ НИ ДЛЯ КОГО...						
18847	Церкви окружить карантинным кордоном на 2 недели... Этого вы добиваетесь?						
18869	[USER], вы вместо того, чтобы радовать тому, что президент позволил вам работать подумали бы, что на самом деле должен вводиться карантин с полной финансовой поддержкой пострадавшего населения, чего кое кто не делает.						
18877	Так это разве организации вместо карантина выходные сделали?						
18914	Такие люди скорее взяли бы дубинки и загнали его обратно в карантинную зону.						
18917	[USER], в других странах на домашнем карантине большинство сидит, соблюдая меры чтобы не заразить близких, если они еще здоровы.						
18930	Тот, кто в зоне риска должен строго соблюдать карантин.						
18950	Во всем мире улицы пустые, и только у нас людей из-за карантина на улицах стало больше)))						
19010	[USER], между тем в Италии церкви закрыты на карантин						
19032	В Китае помимо карантина все поголовно ходили в масках, в магазин без маски даже не пускали, и быстро остановили эпидемию у себя.						
19041	Во власти сидят такие же долбаебы, какие ходят по улицам, дайте локдаун уже стране, введите блять карантин.						
19092	Этого ни чего могло бы не быть, закрой границы и объяви карантин в стране.						
19097	карантин для лиц старше 65 лет, а до 65 лет пенсионеров дофига, менты в 45 лет выходят на пенсию тоже ведь пенсионеры, они что дома сидят?						
19105	Лучше бы тестировали на идиотах, которые не соблюдаю режим карантина !						
19108	ну дак надо было карантин вводить и режимом ЧС, нет?						
19115	не поздно?у нас куча москвичей переждать карантин  их по трое в день вывозят на скорых в больницы						
19124	"Так главные специалисты лахты на уже объяснили, что карантин придумали "" дебилы"""						
19125	"И то правда, да лахтодырка... зато не попал в карантин, придуманный ""нашими дебилами"""						
19129	"Да я сегодня фан предлагала его в Италию отправить как самого работящего сотрудника, я б ему даже дорогу оплатила... тем более он сам мечтает обойтись без придуманного "" дебилами"" карантина."						
19159	А как платить кредиты, кормить ребенка и покупать лекарства, не  только от астмы на 3 месяца, а ещё целый перечень от аллергии, от сердца+  карантин продлится долго, это будет просто капец.						
19163	[USER], ну вы же понимаете что никто не вводит карантин в надежде за день покончить с пандемией, это для другого, лишь один из инструментов сдерживания распространения  По такой логике можно и не лечить никого от вируса, потому что везде лечат и люди все равно умирают )						
19188	[USER], откуда вам знать, что они будут соблюдать рекомендации врачей и не нарушать карантинный режим?						
19199	Е1 подскажи, у мамы пенсия 3 апреля, ее она получает в соцкоре на генеральской, дозвониться не могу, на сайте написано что закрыты на карантин.						
19205	сколько людей должно умереть чтобы ввели карантин?						
19227	А если у людей есть мозги, то они прекрасно понимают, что эти выходные и должны быть как карантин.						
19242	В этом случае уничтожится конкретный враг – например, ...    Распространение опасного штамма по миру невозможно – везде карантин.						
19269	Школы закрывают на карантин ежегодно, и ни у кого это паники не вызывает.						
19276	[USER], ага, а в остальных странах вон все как хорошо - всем прививки сделали, никаких карантинов.						
19296	А вы хотите, чтобы такие трудности возникли у ещё большего количества людей, которых заразят те, кто избегает карантина?						
19297	[USER], в Москве сиди на карантине и помалкивай						
19316	[USER], правильно, что вышла гулять с детьми на огороженную именно по случаю карантина площадку?						
19322	Не имея на руках документов подтверждения о введении на территории РФ Режима повышенной готовности , Карантина или ЧС , нарушая все права, указанные в Конституции РФ, действия юридического лица ОГРН 1052303653269 (руководитель Потемкина М.А.) попадает  под УК РФ ст. 207.1:  « Публичное распространение заведомо ложной информации об обстоятельствах, представляющих угрозу жизни и безопасности граждан  Публичное распространение под видом достоверных сообщений  заведомо ложной информации об обстоятельствах, представляющих угрозу жизни и безопасности граждан, и (или) о принимаемых мерах по обеспечению безопасности населения и территорий, приемах и способах защиты от указанных обстоятельств - наказывается штрафом в размере от трехсот тысяч до семисот тысяч рублей или в размере заработной платы или иного дохода осужденного за период от одного года до восемнадцати месяцев, либо обязательными работами на срок до трехсот шестидесяти часов, либо исправительными работами на срок до одного года, либо ограничением свободы на срок до трех лет.						
19333	Мда, работодателю эту смску показывать, чтобы отпустили в карантин?						
19340	Ещё до этого карантина посидела дома, колено в гипсе лилеяла))), а теперь на работу, дома надоело.)))						
19376	А то кто-то на карантине, а кто-то ещё и работает и гуляет.						
19395	[USER], он должен был сам сидеть дома на карантине без принуждения полиции						
19397	[USER], я не истерю, я за изоляцию зараженных и контактирующих, толтко изоляцией и карантином справился Китай с эпидемией						
19400	Если даже в условиях карантина, невозможно будет собрать народ, думаю парад всё-таки пройдёт!						
19402	Если всем одновременно уйти на карантин, вообще не высовываться, то, вирус вымрет за 14  нарушения карантина, то, будет долгая, нудная эпидемия, пока все не  за нами.						
19409	Сами приехавшие на отдых не понимали на что идут во время карантина?						
19419	Многие боятся карантина для себя, своих родных и знакомых, потому что в силу обстоятельств работают без оформления и потерять работу для них - это петля на шее.						
19442	ЗДОРОВЯ ВАМ И ВАШИМ СЕМЯМ \18+ #карантин #коронавирус  #оставайсядома						
19453	А нарушающих такие запреты, как и бегунов из карантина, надо штрафовать нормально или за решетку отправлять, чтобы другим повадно было.						
19457	[USER], в частных клиниках нет инфекционных отделений, поэтому они и в стороне от карантина.						
19460	А как по-другому, если некоторые люди считают, что карантин, то шуточки?!						
19461	А если человек не болеет, но его на работе отправили на карантин?						
19467	"сначала из Италии вернул ""заробитчан"", которые не соблюдали 2х недельный карантин, а теперь границу закрыть??"						
19477	"Он нужен для того, чтобы локализовать вирус и уничтожить, а когда люди не соблюдают карантин и ходят по торговым центрам на ""авось пронесёт"" вирус распространяется ещё больше."						
19483	[USER], выдаётся больничный на время карантина.						
19484	Пока не закрыты метро и Садовод, ни о каком карантине не может идти речи						
19494	[USER], люди старше 65 наиболее подвержены вирусу и вылечиться таким людям очень сложно, поэтому лучше дома посидеть на карантине, чем умереть						
19516	Даже если эту меру введут, то после окончания карантина эти упыри вдвое больше с народа слупят через повышение тарифов.						
19526	Я не сразу понял, что это белое сзади кресло, а не Ким на карантине.						
19544	Надо было как  в Китае, полная изоляция и строгий карантин.						
19568	значит карантин должен быть28 дней, а у нас 14.						
19574	Во всех учреждениях обещают дистанционку, которая будет длится до февраля 21 года, но зато парки и прочую херню открывают А что было по началу карантина?						
19580	Христианство никогда не выступало против медицины, врачей, карантина.						
19595	Ну, зато обычные сотрудники все на посту, а начальство на карантине, нет у них приема.						
19597	А чем ты займешься на Карантине драть Русскую вашу шмару .						
19627	Но я не считаю правильным цитировать гневные высказывания различным (жёлтых звездулек)в фяедеральных сми, они хайпуют на фоне пандемии, сами не понятно как и где, ну да Бог им судья,... Далее, я за экономику ни слова не сказал(её и так не было, жили купи продай сырьевые торгаши), но правительство обязано было, ещё раньше ввести карантин и со всей строгости подойти к его исполнению, а народ , тот кто не понимает сам  прочует на своей шкуре,, но по моим наблюдениям не такой уж тупой наш народ, большинство придерживаются рекомендациям!...						
19660	Интересно, как она себе представляет, этот полный карантин в России?						
19661	Россия всех принимает, при этом наши «отдыхающие» ещё и борзеть не хотят на карантин !						
19668	С появлением коронавируса все другие болезни исчезли, все операции отменены в поликлиниках врачи посылают куда подальше, а если сам пройдешь МРТ кт анализы и тд сходишь платно на прием , там говорят что нужно оперировать то ходишь пороги обиваешь а в ответ у нас карантин и нам пофиг						
19675	[USER], Нет, паникёры не несут опасность, они просто сидят дома и соблюдают карантин, чтобы самим не заразиться и потом не заразить других.						
19688	А ведь обязана была сидеть дома на карантине после прилета из О						
19691	Им карантин назначили чтобы они дома сидели и не распространяли заразу!!!						
19695	Надо было сразу запрещать выезд именно туристам, как начался карантин!!						
19705	[USER], в Москве, да и то это трудно назвать карантином, но в других регионах не вводят						
19718	С сегодняшнего дня все дети отправлены на карантин и смысла в таких мерах нет.						
19727	Кстати понадобилось 3 недели жесткого карантина, что б остановить эпидемию!						
